_id,category,section,question,options.a,options.b,options.c,options.d,answer,point,createdAt,updatedAt
66e0d41211ca3395984e4065,null,General,Which of the following best describes an entrepreneur?,A person who manages an existing business,A person who creates and assumes the risk for a new business venture,A person who works for a large corporation,A person who invests in stocks and bonds,A person who creates and assumes the risk for a new business venture,1,2024-09-10T23:19:46.736Z,2024-09-10T23:19:46.736Z
66e0d41211ca3395984e4066,null,General,What is a business plan?,A document that outlines the goals and strategies of a business,A financial statement,A marketing brochure,A list of employees,A document that outlines the goals and strategies of a business,1,2024-09-10T23:19:46.748Z,2024-09-10T23:19:46.748Z
66e0d41211ca3395984e4067,null,General,Which of the following is a key characteristic of a successful entrepreneur?,Risk aversion,Dependence on others,Strong leadership skills,Preference for routine tasks,Strong leadership skills,1,2024-09-10T23:19:46.748Z,2024-09-10T23:19:46.748Z
66e0d41211ca3395984e4068,null,General,What is the primary purpose of market research for a new business?,To create advertisements,To understand consumer needs and market conditions,To hire employees,To determine product prices,To understand consumer needs and market conditions,1,2024-09-10T23:19:46.748Z,2024-09-10T23:19:46.748Z
66e0d41211ca3395984e4069,null,General,Which of the following is an example of a fixed cost in a business?,Raw materials,Monthly rent,Sales commissions,Advertising expenses,Monthly rent,1,2024-09-10T23:19:46.749Z,2024-09-10T23:19:46.749Z
66e0d41211ca3395984e406a,null,General,What does ROI stand for in a business context?,Return on Investment,Rate of Interest,Return on Income,Ratio of Investment,Return on Investment,1,2024-09-10T23:19:46.751Z,2024-09-10T23:19:46.751Z
66e0d41211ca3395984e406b,null,General,Which of the following strategies is most effective for managing cash flow in a start-up?,Ignoring unpaid invoices,Reducing expenses and closely monitoring income and expenses,Increasing salaries,Expanding office space immediately,Reducing expenses and closely monitoring income and expenses,1,2024-09-10T23:19:46.751Z,2024-09-10T23:19:46.751Z
66e0d41211ca3395984e406c,null,General,What is a value proposition?,The ownership structure of a business,A statement that explains how a product or service solves a problem or provides benefits to customers,A pricing strategy,A market analysis report,A statement that explains how a product or service solves a problem or provides benefits to customers,1,2024-09-10T23:19:46.751Z,2024-09-10T23:19:46.751Z
66e0d41211ca3395984e406d,null,General,Why is networking important for entrepreneurs?,It guarantees immediate business success,It helps in building relationships that can provide opportunities and support,It eliminates the need for a business plan,It ensures high sales volume,It helps in building relationships that can provide opportunities and support,1,2024-09-10T23:19:46.752Z,2024-09-10T23:19:46.752Z
66e0d41211ca3395984e406e,null,General,What is a minimum viable product (MVP)?,The cheapest product that can be made,A product with the highest number of features,A product with just enough features to satisfy early customers and provide feedback for future development,The final version of a product,A product with just enough features to satisfy early customers and provide feedback for future development,1,2024-09-10T23:19:46.752Z,2024-09-10T23:19:46.752Z
